0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	76
0	76
0	0
0	22
0	75
0	76
0	74
0	74
0	76
0	74
0	62	75	7	29
0	62	31	0
0	77	99	57	27
0	0	74	100	40
0	59	91	97	26
0	79	22	52
0	63	31	97	64	82
0	17	99	82	0
0	81	19	51	40	0
0	19	0	99	65	0
0	66	33	95
0	65	32
0	61	31	46
0	0	80	39
0	65	99	0	67
0	70	85	33	38	0
0	15	100	68
0	62	31
0	0	100	62	100
0	57	97
0	0	81	43	100
0	55	90	91
0	59	29	95	61	0	30
0	58	29	83
0	60	89	54
0	62	89	31
0	0	100	48	22
0	86	100	37	0	41
0	16	74	46	0
0	89	25	33	58
0	0	100	45	73
0	59	0	100	59
0	58	29	15	100	67
0	77	24	64	53
0	57	28
0	59	30	95	62
0	59	0
0	90	100	35	0
0	98	85	32	0
0	79	0	100	36
0	16	100	65	30
0	61	0	100	57	27
0	58	96	95	27
0	16	0	98	61
0	50	69	24	33
0	0	100	46
0	56	82
0	76	0	100
0	13	0	95	56
0	0	77	100	41
0	72	52	1
0	0	92	45
0	0	100	52	25
0	0	71	38	100
0	18	98	0	64
0	0	75	39
0	58	98	59
0	55	4	84
0	98	45	73
0	18	98	60	27
0	87	14	50
0	9	79
0	0	98	47
0	0	80	97	35
0	0	100	57	28
0	0	75	100	35
0	0	97	63
0	0	73	100	39
0	57	80	50
0	56	75	27
0	50	0	95	24
0	98	45	22
0	14	93	54	60
0	60	30
0	57	7	95	91
0	0	68	35	17
0	54	84	49	0
0	98	46	22	74
0	51	51	96	0
0	97	90	35	0
0	57	91	92	27
0	99	53	25	0
0	0	53	96	26
0	0	100	64	33
0	59	30	15
0	0	100	56	28
0	0	73	90	39
0	0	77	100	31
0	14	69	67	0
0	0	84	44
0	56	28
0	77	37	94	0
0	99	49
0	59	29
0	0	47	88	23
0	12	96	53
0	93	48
0	0	90	90	49
0	54	0	27	99
0	13	0	100	69
0	85	88	39
0	0	80	43
0	97	49
0	66	7	98	67
0	53	83	0
0	43	92	0	68
0	78	41	20	0
0	0	95	47
0	51	82	0
0	96	58	0
0	94	46	70
0	45	4	97
0	15	100
0	99	36	98	0
0	0	99	92	54
0	0	98	59	100	32
0	55	84	47	0
0	89	91	34	0
0	93	94	0	46	49
0	46	96	45	0
0	91	95	45	0
0	92	0	49	24
0	42	83	44	0
0	0	100	44	73	22
0	35	81	43	93
0	97	0	63	50
0	58	29	85
0	0	46	92	95
0	8	93	44
0	0	98	78	35	71
0	0	81	84	39
0	90	39	19	67
0	0	90	92	55
0	54	84	50	1
0	55	86	36
0	70	100	41	0
0	93	0	45
0	98	47	73	0
0	93	0	93	37
0	53	87
0	90	2	62	58
0	52	0	99	26
0	0	92	94	51
0	47	96
0	89	54	0	30
0	91	93	40	35	0
0	94	52	96	41	0
0	90	35	90	62	16
0	35	43
0	90	1	45	90
0	8	100	64	35
0	91	93	38	31
0	52	0	97	96	43
0	0	51	99	25
0	53	92	41	20
0	0	83	83
0	80	69	0
0	4	52	85	27
0	5	97	69	36
0	0	71	98	39
0	97	0	52	62
0	42	4	99	97
0	46	95	23
0	48	99
0	99	49	24
0	95	0	63	60	29
0	95	34	0	99
0	91	92	42	20
0	52	98	25
0	98	40	70	38
0	91	32	0	91	60
0	96	46	94
0	96	95	33	63
0	94	92	29	0
0	0	47	95
0	63	98	29	61
0	70	0	41
0	83	71
0	79	43	1
0	72	36	0
0	0	100	61
0	79	37	42	85	17
0	43	98	21	97	69
0	53	98	37
0	84	0	46
0	91	43	97
0	97	57	10	56
0	95	48	41
0	48	54
0	95	57	42
0	98	37	70
0	77	44	0
0	80	41	20
0	69	35	17	0
0	99	49	25	76	0
