evap,temp,albedo,precipitation,pressure,u800,u200,v200,v800
64.3571,-35.94804,64.3571,-35.94804,64.3571,-35.94804,-35.94804,-35.94804,-35.94804
62.339783,-34.990135,62.339783,-34.990135,62.339783,-34.990135,-34.990135,-34.990135,-34.990135
73.56653,-35.212154,73.56653,-35.212154,73.56653,-35.212154,-35.212154,-35.212154,-35.212154
66.55588,-37.608364,66.55588,-37.608364,66.55588,-37.608364,-37.608364,-37.608364,-37.608364
104.4872,-35.013103,104.4872,-35.013103,104.4872,-35.013103,-35.013103,-35.013103,-35.013103
104.98535,-37.248962,104.98535,-37.248962,104.98535,-37.248962,-37.248962,-37.248962,-37.248962
63.447258,-37.599392,63.447258,-37.599392,63.447258,-37.599392,-37.599392,-37.599392,-37.599392
74.585205,-36.51341,74.585205,-36.51341,74.585205,-36.51341,-36.51341,-36.51341,-36.51341
97.28308,-32.97092,97.28308,-32.97092,97.28308,-32.97092,-32.97092,-32.97092,-32.97092
124.730896,-35.24644,124.730896,-35.24644,124.730896,-35.24644,-35.24644,-35.24644,-35.24644
90.277214,-34.289,90.277214,-34.289,90.277214,-34.289,-34.289,-34.289,-34.289
74.14766,-36.106537,74.14766,-36.106537,74.14766,-36.106537,-36.106537,-36.106537,-36.106537
104.87509,-34.807644,104.87509,-34.807644,104.87509,-34.807644,-34.807644,-34.807644,-34.807644
103.40053,-35.935814,103.40053,-35.935814,103.40053,-35.935814,-35.935814,-35.935814,-35.935814
84.960014,-35.295124,84.960014,-35.295124,84.960014,-35.295124,-35.295124,-35.295124,-35.295124
90.03562,-37.275078,90.03562,-37.275078,90.03562,-37.275078,-37.275078,-37.275078,-37.275078
77.65324,-34.52411,77.65324,-34.52411,77.65324,-34.52411,-34.52411,-34.52411,-34.52411
86.317184,-33.725857,86.317184,-33.725857,86.317184,-33.725857,-33.725857,-33.725857,-33.725857
120.78169,-35.01376,120.78169,-35.01376,120.78169,-35.01376,-35.01376,-35.01376,-35.01376
106.739136,-35.385906,106.739136,-35.385906,106.739136,-35.385906,-35.385906,-35.385906,-35.385906
124.75174,-34.861576,124.75174,-34.861576,124.75174,-34.861576,-34.861576,-34.861576,-34.861576
115.969406,-34.7307,115.969406,-34.7307,115.969406,-34.7307,-34.7307,-34.7307,-34.7307
106.1739,-34.39766,106.1739,-34.39766,106.1739,-34.39766,-34.39766,-34.39766,-34.39766
77.4406,-35.053387,77.4406,-35.053387,77.4406,-35.053387,-35.053387,-35.053387,-35.053387
89.957466,-36.212578,89.957466,-36.212578,89.957466,-36.212578,-36.212578,-36.212578,-36.212578
142.30682,-33.993366,142.30682,-33.993366,142.30682,-33.993366,-33.993366,-33.993366,-33.993366
111.93684,-34.942047,111.93684,-34.942047,111.93684,-34.942047,-34.942047,-34.942047,-34.942047
77.06215,-37.67489,77.06215,-37.67489,77.06215,-37.67489,-37.67489,-37.67489,-37.67489
89.09308,-38.440983,89.09308,-38.440983,89.09308,-38.440983,-38.440983,-38.440983,-38.440983
82.54624,-36.291046,82.54624,-36.291046,82.54624,-36.291046,-36.291046,-36.291046,-36.291046
92.63665,-34.70611,92.63665,-34.70611,92.63665,-34.70611,-34.70611,-34.70611,-34.70611
46.546528,-35.45329,46.546528,-35.45329,46.546528,-35.45329,-35.45329,-35.45329,-35.45329
37.902676,-35.89091,37.902676,-35.89091,37.902676,-35.89091,-35.89091,-35.89091,-35.89091
64.84013,-35.85565,64.84013,-35.85565,64.84013,-35.85565,-35.85565,-35.85565,-35.85565
88.81263,-36.625072,88.81263,-36.625072,88.81263,-36.625072,-36.625072,-36.625072,-36.625072
50.390717,-36.350132,50.390717,-36.350132,50.390717,-36.350132,-36.350132,-36.350132,-36.350132
77.34961,-37.916286,77.34961,-37.916286,77.34961,-37.916286,-37.916286,-37.916286,-37.916286
53.203842,-36.772675,53.203842,-36.772675,53.203842,-36.772675,-36.772675,-36.772675,-36.772675
56.306168,-36.895123,56.306168,-36.895123,56.306168,-36.895123,-36.895123,-36.895123,-36.895123
81.75604,-38.3154,81.75604,-38.3154,81.75604,-38.3154,-38.3154,-38.3154,-38.3154
82.15915,-37.772293,82.15915,-37.772293,82.15915,-37.772293,-37.772293,-37.772293,-37.772293
46.581905,-36.304996,46.581905,-36.304996,46.581905,-36.304996,-36.304996,-36.304996,-36.304996
