0	6	3	5	15	11
0	6	3	5	15	11
0	6	3	5	16	12	9
0	6	3	5	15	11
0
0	6	3	5	16	11
0	6	3	5	15	11
0	6	3	5	16	12	9
0	30	62	98
0	4	2	17	12	8
0
0	47	33	36	24
0	6	3	5
0	36	18	12	15	32
0	6	3	5	15	11
0
0	6	3	5	12	9
0
0	6	3	14	10
0
0	6	3	5	15	11
0
0
0	6	3	5	15	11
0	6	3	5	15	11
0
0	4	2	17	13	9	65
0	6	3	5	15	11
0
0	4	2	17	13	9
0	6	3	13	10
0	6	3	5	15	11
0	6	3	13	10
0	5	2	17	10	14	63
0	4	2	17	11	8
0
0	4	84	16	2
0	5	2	13	9	67	32
0	5	2	17	11	14	97
0
0	4	2	17	9	13
0
0
0	85	37
0	19	80	83
0	3	33	11
0	6	3	16	11	33
0	5	2	16	11	84
0
0	6	3	5	14	10
0
0
0	46	36	34
0	6	3	5	15	11
0
0	47	60	13
0	3	35	12	31
0
0	4	2	17	13	9
0	3	35	18	11
0
0
0	4	2	17	13	9	96
0
0	68	55	58	63
0	3	35	18
0	6	3	12	9
0	67	53	48	63
0	19	80	71
0	4	2	17	13	9
0	3	35	17	10
0	3	35	12	59
0
